 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Jeffrey B 	  Family fun for this Lego 'fanily'!
 The Falcon J 	  This was a hilarious fun packed movie that both complemented Lego and Batman well! However if you don't know much about batman some of the references and jokes may make absolutely no sense to you at all. I would highly recommend this film even if some of the jokes are repetitive .
 Daniel M 	  Some funny moments and some surprising references to the other batman films. 3.5/5
 Harmen D 	  We all know Batman rocks. Hes proven that again with this movie, but now its from Lego, wich means you can expect a whole lot of things that dont make sense, but hey, every movie doesnt make sense these days.
 Carson B 	  Definitely not as good as the Lego Movie. The Lego Batman Movie is extremely convoluted and tonally uneven, it also takes forever to end. But in the end it pays off as a funny and mostly entertaining movie that my mom fell asleep in.
 Keri K 	  Fun movie! The commercials dont do it justice!
 John L 	  Family friendly movie that combined the best of the 2014, Lego Movie and every single incarnation of Batman including the 1966 Adam West version.
 Matthew J 	  Great movie to see with the kids.
 Dylan R 	  besides the fact it it batman and lego, it is one of the funniest movies i have ever seen
 Chris F 	  The LEGO Batman Movie is a consistently fun and entertaining animated film. Will Arnett is great as the voice of Batman. He really is the star of the show. Michael Cera, Rosario Dawson, and Ralph Fiennes were all good in their supporting roles. I really liked how they portrayed the character of Batman. It really stayed true to his character while also being very unique in its own way. The film has many jokes that for the most part work. The kids will be distracted by the colorful action while the adults will laugh at the numerous cultural references. The jokes come by too fast at times. Some may fly over your head in the first viewing. Also, the film lacks the emotional impact the original LEGO movie had. Overall, while it isn't an improvement over its predecessor, it still entertains in its own right. It captures the world of Gotham perfectly, and is also very hilarious.
 Daniel B 	  Awesome film. Loves it.
 Jay H 	  I actually fell asleep during parts of this.
 Torion O 	  The references are everywhere. Great fun.
 Glenda L 	  it is so good and awsome
 Hamza S 	  i want to see this movie!!!!!!
 Adolfo A 	  No as good as the first one and it is not even close. I guess I never got all the WB movies and previous Batman movies references but I did in the first movie. It just did not work for me or my wife (yeah, we went on a romantic night, no kids)
 Calum R 	  Growing up, Lego meant everything to me, my aspirations of becoming an architect, and even the result of me studying design engineering in university, were all due to my fascination with Lego as a child and the complex structures you could craft and create. In 2014, upon the announcement of 'The Lego Movie', despite my love for the toy, I was kinda doubting the general premise. How could you make a movie out of Lego? Well, that question was soon answered as I gawped in awe at the screen, the movie was fantastic. Now, the character from 'The Lego Movie' that garnered the most love was Batman, a cocky, sarcastic, childish take on the superhero we know and love... well it was only going to be a matter of time before he got his own motion picture.'The Lego Batman Movie' was definitely an enjoyable ride, and whilst I think it lacks in comparison to its predecessor, it stills thrusts us back into the universe that we came to revere in 2014. With an admirable cast of voice talent, and stunning animated visuals, 'The Lego Batman Movie' boasts undeniable creative talent, but does at times seem to be trying a little too hard to be funny, building off the reputation the initial film garnered.Is this film worth viewing? Most definitely, it's a hilarious feel-good animated comedy, and definitely perfect for the younger audience. I actually saw this film prior to its full release during a preview a few days early, however I believe it may have been aimed more as a kids matinee... I was literally the only adult there, shameful I know, but heck, I didn't care. The kids in the audience continually laughed with glee, so its definitely something suited for that kind of audience, but don't skip over the older adults who are still children at heart, it's an alluring comedy that piles on the laughs, definitely worth a watch.
 Campbell C 	  This just became one of my favorite movies. This is so fun and energetic compared to the other Batman films. GO SEE
 M N 	  Cute flick with some good laughs. But not anywhere as good as the first Lego movie.
 Albert W 	  A smart, fun, animated comedy that both kids and adults can enjoy. Full of surprisingly good action sequence in Lego Format and very well developed characters that no one could've expected when going to the movie.
 Daniel S 	  The film's story was a bit predictable from the start, so if you're a teen or adult you'll probably be a bit bored while watching this. Despite all this, the movie still brings in some of the same kicks from the Lego movie.
 Dave W 	  From the opening black screen to the final credits. This movie delivered. I took the kids expecting a predictable pleasant but bland movie and found that the various parents were all laughing uncontrollably at times, we likely strained our abs. Batman makes some really good points about the importance of looking after your abs, so it was all good, Glad I saw it in a crowed theatre.
 Zoe N 	  Very funny! I look forward to getting it on DVD. Laughs galore from minute one.
 Edgar M 	  As seen as a realistic and dark character, Lego Batman is a insane and comedy film with an outstanding performance and fantastic animation.
 Mark D 	  Best lego movie so funny
 Jacob M 	  Literally the best Batman movie
 Greg B 	  "The Lego Batman Movie" is the latest in the line of product placement movies for the notorious toy. In this film, Lego Joker wants to take over Gotham City with his band of criminals, and Batman is consigned to stop him. Batman deals with a cathartic struggle because he believes he doesn't need anyone, and this motif is recycled throughout the film. While the interplay of Batmans emotions and the colorful action make for a watchable film, the action is also whirlwind and confusing. This movie tries to be so much in 100 minutes that it leaves many characters underdeveloped and static. Instead of trying to be its own movie, it borrows heavily from pop culture and does too much product placement to be a standout Lego film. While not terrible, the first Lego movie was vastly superior. Children might enjoy the chaotic scenes but adults will be left scrambling ------------------------------------------------------ B-
 Lindsey G 	  kept me and my family laughing the whole movie. watched it twice! loved every minute!
 Zane M 	  Funny, Action packed, Fun all around, and Batman! The LEGO Batman Movie brings the fun and action from DC Comics and other Warner Brothers movies, and crafts another spectacular blockbuster out of LEGO's, just like its predecessor The LEGO Movie.
 August V 	  Doesn't do its predecessor justice, and manages to make fun of everything but its own cliches, but is nevertheless still a good time, and worth watching
 Dareyll D 	  A fun, comedic ride but the plot could have used some polish.
 Andy G 	  This movie can make a black screen exiting.
 Genoveva Z 	  too long for a kids movie
 Joel H 	  The Lego Batman movie is a fun ride for any Batman fan. There are so many references and allusions to The Dark Knight's past works that it's difficult to catch them all. And while the plot is stretched a little thin, the voice work is well done and the animation keeps you engaged. Lego is starting to build a respectable movie franchise.
 Nge N 	  We will you our papa dad dad Win papa kyaw.
 Patrick L 	  "The LEGO Batman Movie doesn't have the same creative energy or irreverent spirit that made the first "LEGO Movie" so great but it really succeeds as a hilarious parody of the Batman character himself"Movie Review: The LEGO Batman MovieDate Viewed: February 10 2017Directed By Chris McKayScreenplay By Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern and John Whittington, Story By Seth Grahame-Smith, Based on Lego Construction Toys and "Batman" characters created by Bob Kane and Bill FingerFeaturing the voices of Will Arnett, Zach Galifianakis, Michael Cera, Rosario Dawson, Ralph Fiennes, Mariah Carey, Hector Elizondo, Jenny Slate, Lauren White, Eddie Izzard, Seth Green, Jemaine Clement, Billy Dee Williams, Riki Lindhome, Conan O'Brien, Zoe Kravitz, Jason Mantzoukas, Kate Micucci, Doug Benson, Matt Villa, Laura Kightlinger, Ellie Kemper, Adam DeVine, Channing Tatum and Jonah Hill.When "The LEGO Movie" came out in 2014, I was excited for it but I didn't expect to make it on my Top 10 movies list that year but I was wrong. Thanks to the people who did "Cloudy With a Chance of Meatballs" and "21 & 22 Jump Street", "The LEGO Movie" was a work of pure genius and it became a masterpiece and it was based on a toy brand. "The LEGO Batman Movie" doesn't have the same creative energy or irreverent spirit from the first "LEGO Movie" but it really succeeds as a hilarious parody of the Batman character himself.Even though it is a role that he can do in his sleep, Will Arnett is nails it once again as the Lego Batman who is more comedic and fun compared to previous Caped Crusaders. "The LEGO Batman Movie" is the best DC Comics movie right now even though it's not a part of the DC cinematic universe. Instead of making his superhero movies dark and so serious, maybe Zack Snyder should borrow some Lego blocks and make a more fun superhero movie than "Batman v Superman".Speaking of "Batman" films, there are some clever riffs to all the previous movies and the action here is pretty entertaining. "The LEGO Batman Movie" should suit well for comic book and Lego fanboys alike and we finally have a Batman who likes to play around in his mansion and with his toys. Set of course in Gotham City, Batman (voiced by Arnett) continues to fight crime and save the city from his arch-nemesis The Joker (voiced by Zack Galifianakis). When Batman hurts the Joker's feelings by saying that he's not important in his life, he weeps and he plots a revenge plan on the Batman by simply surrendering himself to the Gotham City police.Joker and along with the rest of Batman's villains crash a winter gala which is celebrating the retirement of Commissioner Gordon (voiced by Hector Elizondo) and they just simply surrender themselves to the police in an orderly fashion. This not only puzzles Batman but also to Commissioner Gordon's daughter, Barbara Gordon (voiced by Rosario Dawson) who both suspect that the Joker might be plotting something big. With every single bad guy in Gotham City (except for Harley Quinn) locked up in Arkham Asylum, Batman is free to do whatever he likes which includes eating lobster, watching movies and hanging out in his Batcave. Still believing that the Joker remains a threat to Gotham City, Batman decides to banish him into the Phantom Zone by stealing Superman's (voiced by Channing Tatum) Phantom Zone projector but his loyal butler Alfred Pennyworth (voiced by Ralph Fiennes) wants him and his alter ego Bruce Wayne to stay in the mansion and take charge of Dick Grayson (voiced by Michael Cera), the young orphan he unwillingly adopted during the gala.Batman or Bruce Wayne takes the foster kid in to be his sidekick Robin and they manage to recover the Projector while attending Superman's "Justice League" party and they use it to banish the Joker into the Phantom Zone which is a prison for some of the most dangerously powerful villains in the Lego multiverse which include Lord Voldemort (voiced by Eddie Izzard), King Kong (voiced by Seth Green), Sauron from "Lord of the Rings" (voiced by Jemaine Clement), the Wicked Witch of the West (voiced by Riki Lindhome), the Gremlins, the Kraken and even Agent Smith from "The Matrix".Angry over his arrogance and recklessness, Barbara Gordon locks up both Batman and Robin because she believes the Joker wanted to sucked into the Phantom Zone and her suspicions were right as the Joker and the other trapped villains manage to get out of the Phantom Zone and they cause mayhem and destruction in Gotham City. It is time for Batman and his friends to not only save the day but to also find the real hero he's supposed to be.Like the bats that fly around in the Batcave, the hilarious puns and in-jokes fly all over the place in "The LEGO Batman Movie". With a screamingly funny script from Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern and John Whittington, "The LEGO Batman Movie" works as a spoof to the entire "Batman" franchise in general with some extra ingredients from "Robot Chicken" and "The Naked Gun". Speaking of "Robot Chicken", the movie was directed by Chris McKay who is a "Robot Chicken" alum himself. McKay lightens this "Batman" movie up with beautiful animation, colorful characters and nifty touches to the Caped Crusader's history.The one thing I didn't like about "The LEGO Batman Movie" is that I thought there were too many villains. I know this is supposed to be a parody of the "Batman" character but this movie has every single bad guy the Caped Crusader has ever faced. They got the Penguin, Mr. Freeze, Poison Ivy, The Riddler (voiced by Conan O'Brien), Scarecrow (voiced by Jason Mantzoukas), Catwoman (voiced by Zoe Kravitz), Killer Croc, Bane and Two-Face (who's voiced by Billy Dee Williams who finally plays him after playing his alter ego Harvey Dent in the 1989 "Batman" movie).Again, it doesn't have the same creative impact or visual wonder from the first "LEGO Movie" which I loved and cared deeply for unlike the Academy Awards but with terrific voice work, colorful animation and dynamic funny humor, "The LEGO Batman Movie" serves as a brilliantly funny lampooning to one of the most popular superheroes of all time.
 Tim S 	  Had a funny moment or two but i was surprised on how much this movie was lacking.
 Adam H 	  Eh. It was ok. Comically in line with other Lego presentations. I dozed off once or twice. My 14 yr son liked it.
 Rich O 	  Awesome, Entertaining, Action, Funny, can't say more....
 Mark C 	  Some kids movies are accessible to both children and adults; The Lego Batman Movie isn't one of them. As feared, this was 100 minutes of someone flashing a loud "PLEASE LAUGH" sign in your face constantly. I need a Tylenol.
 Nelson P 	  Brooding, dark, tormented, these are the words that come to mind when one mentions Batman. Whether you read about him in the pages of DC's comic books or follow his adventures in Nolan or Synder's universe, everyone knows the Batman is one superhero/vigilante that bad dudes do not want to be caught down a dark alley with. However, this self serious attitude that surrounds the cape crusader can be a turn off to some long time fans that prefer the superhero portion of the character, rather than the deep character study of Bruce Wayne and his gallery of rogues that is often covered. Director Chris McKay aims to change all of that and gives us one of the most hilarious and heart felt takes on the dark knight, ever.The villains are on the loose and on the prowl, ready to blow a hole through the heart of Gotham City and send it sinking to the Lego abyss below. Not while Batman is on the clock! With his master builder skills, Batman makes short work of his foes and cements to his greatest villains and everyone else that he works alone and does not need anyone. This is the key to the story as Lego Batman explores the depth of what makes Batman a compelling character and drives to keep those he cares for as far as away as possible to keep them out of harms way. Gone is the long winded and repetitive backstory which we have seen a thousand times (most recently in 2016's unhappy BvS), instead we get an enriching story of the importance of family and accepting that not everything can be controlled or prevented and handled alone.At the core of the film is a fantastic message for children to take in, covered in eye popping CGI reminiscent of the fast paced, colorful Lego Movie from a few years back. Everything here, script wise, is just as tight and quick as it was before with many jokes for both children and their parents (or inquisitive and nerdy adults like myself). As a fan of comic books and all things Batman, the film packs in many references to Batman's history in all mediums, including film, TV, comic book, and more! Eagle eyed fans will spot characters and pieces of Batman lore peppered throughout the film and be introduced to the most obscure villains to come out of the pages of DC's comic books (Condiment Man was a real thing, wait until you see him). Will Arnett brings Batman to roaring life, giving the character the perfect mix of dark and funny, accompanied by a stellar cast that features Micheal Cera as Robin, Ralph Fiennes as Alfred, Rosario Dawson as Barbara Gordon, and Zack Galifianakis as the most upbeat and adorable (that's right, I said adorable) version of Joker you have ever seen. So grab the kiddos or plan a cool Saturday afternoon and catch Lego Batman while it's still in theaters. It's the perfect film for the comic book kid in all of us!
 Joseph G 	  The Lego Batman Movie concentrates a lot of its laughs in the first half of the film, and doesn't quite achieve the same level of story-telling as 2014's The Lego Movie, but Chris McKay and his team got something incredibly right with this film, and that's fun. Lego Batman felt like a breath of fresh air after years of dark, gloomy films from Warner Bros. and DC. The respect for the source material, the humorous references to past iterations of the character and the franchises he has been a part of, and the light-hearted, feel-good tone of the film makes The Lego Batman Movie a great watch for the whole family, and definitely worth repeat viewings.
 CommandCape 3 	  It's a good movie and a lot of heart in it?
 Anthony C 	  That was absolutely a great movie! I liked this movie a lot because it has of the characters from Batman and many others from different movies. It's a movie that you don't want to miss out!
 Craig E 	  Entertaining movie. Nice job of including Harley Quinn, Bane and so many others while including the Superman rivalry.
 Monny M 	  Saw this in the theater yesterday. It was okay.
 Michele M 	  Fantastic movie! Gave me a whole new appreciation for Batman.
 Lync P 	  Lego Batman is amazing. Google it.
 Ben H 	  Absolutely brilliant - humour for both children and adults - great animation and voicing with loads of classic batman references
 Andres A 	  An astonishingly loving AND irreverent parody AND celebration of the Caped Crusader. But, a caveat... Batman beatboxes... the theater was awkwardly quiet.
 ActingGuy 1 	  The Lego Batman Movie suffers lack of pace and plot, but on the other hand, its animation of bricks is beautiful and it has a great script.
 Lee D 	  Very clever and funny. Good movie.
 Benjamin R 	  Amazing movie not just for kids but also for adults
 Chris B 	  This film is extremely clever and funny. Chris McKay really understands the history and character of Batman. This film is very self referencing and acknowledges the mistakes of other Batman installations. Will Arnet does a perfect job voicing Batman. The lego animation is great and works really well with action scenes. The story is also really well done, it tackels a serious subject matter that is relevant in Batman films.
 Sebastian N 	  Fairly fun movie. DARKNESS!!!! NO PARENTS!!!!
 Jonathan R 	  Funny at times not a bad movie
 David S 	  Very witty like the first. So many jokes packed into every minute. I'm assuming kids just watch it for the lego.
 Jim A 	  Funny, fast paced, and with a nice visual flair and wit this movie has plenty to entertain both adults and kids even if some of its humor gets a bit repetitive towards the end. Its references to previous incarnations of Batman are particularly humorous
 Jennifer M 	  Bored me extremely. No "new" conflict/plot.
 Massimo D 	  Great movie lives up to its predecessor The Lego Movie
 PlayBoy aka S 	  Funny throughout..but kinda got too mushy the last 10 mins or so..I understand morals in the story but the segment felt too long.
 Jonathan M 	  Lego score a goal with this movie!
 Mia R 	  very funny and every member of the family is sure to enjoy! :)
 Josh H 	  Often what happens with spin-off movies and shows is that they have to take a few things that made the character stand out in small parts in the original movie and stretch it out over a whole movie. This got a little old but still really entertaining.
 Collin S 	  Although it wasn't as good as the original Lego Movie, it was and enjoyable movie for all ages, and it makes another very good installment in the Lego Movie franchise
 kayleigh%20 p 	  This movie was hilarious and great for the whole family. My brother, dad, and I all went to see it together and not only were we laughing the whole time but everyone else in the movie theater as well. This is a great lego movie for the kids and the adults can enjoy all the innuendos that take place. I definitely recommend this movie to all ages. This is a great movie if you need a good laugh.
 Lori A 	  Was actually looking fwd to it ending
 BrandonMC . 	  Best Lego Batman Movie I Ever Saw In Years!
 Jake M 	  The Lego Batman Movie (2017) - was not a movie I was solely anticipating to see. For those that don't know, I have this somewhat dislike toward the Lego version of Batman. I don't necessarily hate him and he did have a few funny lines but I never understood his purpose in the first "Lego movie" but It seems like everyone else loved this character. You could imagine that I wasn't super hyped when I heard about a Lego batman movie. However, when I saw the score on the tomatometer at a surprisingly high percentage it convinced me to see the movie despite not liking the character and Holy cow, the movie was a lot better then I was expecting. I was surprised how the story had a great deal of funny references and some heartfelt moments. I do like some of the jokes especially when it comes to referencing Batman's movie History or breaking the fourth wall in the opening and closing of the movie. I also really like how this movie dives deep into the Batman character and actually gives him a understandable personality. I think it's actually great that they put the spotlight on Batman because we get to know him on a more personal level. The rest of the characters like Robin are supportive to Batman and work off of him nicely. It's works even better when they challenge Batman's persona and make him come to terms with his feelings. Even the Joker has a funny personality and like Batman, they also give him some understanding. I think it's no secret that the animation is spectacular. Just like the previous film, the animation is top notch and it captures the movement of lego bricks whether it be people or tall buildings and large landscapes. The action is fast paced and there is always something happening on the screen, it just never stops but every now and then they do take time to slow down. The music is a mix of pop songs and an orchestral soundtrack. The pop songs admittedly aren't really needed but they only happen once in awhile and they still keep most of the music on the orchestral soundtrack. I really had no idea why this needed to exist but at the same time I was amazed on the effort they put into this movie. They took a character I disliked from the original "Lego Movie" and turned him into a character that I can actually sympathize with. Much like how Batman admitted his feelings, I have to admit mind. This was a major surprise and it once again proved that Everything is still Awesome. (A-)
 Don S 	  Great for kids and adults! Loved it
 Silver Screen S 	  Absolutely fantastic- enjoyable as hell, and sure to be a movie I rewatch many times in the future.
 Lyndon M 	  Funny I'll check it out on TV!
 Winston C 	  Liked it but I thought Lego Movie was more entertaining.
 Monica H 	  Very funny and cute!
 A D 	  fell asleep, but my kids loved it
 Dale P 	  A film likely elevated simply by not being directed by Zack Snyder with his patented grit-o-vision. It got a lot right about Batman while poking fun at him.
 Cassidy S 	  Not as good as as the original, but it's still adorable! I especially loved Robin, voiced oh-so-charismatically and by Michael Cera!
 Tony S 	  Well done. Spoofs the recent movies yet stays true to the character.
 Darian M 	  The Lego Batman Movie is a PG version of Deadpool. Self aware, hilarious, and very in tune with its audience. While falling flat of a 'grand finale' towards the end, this adaptation brings some much needed colour and humanity to the citizens of Gotham City. Move over Ben Affleck, Christian Bale, Val Kilmer, Adam West, Lewis G Wilson *catches breath*, Robert Lowrey-, forget it.
 Shawn H 	  Fun family movie, good humor and meaningful lessons
 Demitrius J 	  This movie is more better than the recent batman movies?
 Kyleigh T 	  Funny, moving and all above ridiculous! Amazing kids movie and I loved the fandom references inside it (Harry Potter, Doctor Who, LOTD)! Just as good if not better than the first Lego Movie. Though I'm not a fan of D.C., this is definitely Certified Fresh that they deserve!
 Patrick L 	  Relentlessly funny, witty, and fast-paced, the Lego Batman Movie is a family-friendly story about the greatest superhero of all time: Batman. The film has plenty of action and beautiful, deft animation. Combine both of these things with a fun sense of humor, self-awareness, and a great moral for kids and adults alike, and movie-goers are left with a film that can be enjoyed by people of all ages.For me, it's a 4.5/5.
 NintendoJackson . 	  A little more on the kids side of a movie but still pretty funny and has some adult hunter in there it's a good movie and sends a great message to kids about friends
 Nicholas M 	  The movie is significantly worse than its predecessor, the Lego Movie. Here, all of the things that made the Lego Movie accessible to all ages have been removed. The result is a childish movie with the same jokes related to Batman from the first movie played over and over again. Redundant and satisfying for small children, but not worthwhile for adults.
 Jake B 	  Funniest movie since 2015. Comedy every minute. So much action with the joker and I won't spoil for anyone else but there are a lot of familiar bad guys
 Jasmine L 	  Absolutely hilarious!!!
 jason c 	  Definitely a well written movie with some great jokes. The vice acting was great and it was fun seeing all the cameos from the DC comics. With that said the movie was a bit long. Even for me. I can only imagine it felt long for a child.
 Kyle T 	  It's funny, but a bit one dimensional.
 Liesl E 	  Not quite as good or memorable as The Lego Movie, but still very clever and fun.
 Sean P 	  I really didn't enjoy it as much as I thought I would. The whole movie was basically a lesson to Batman about how being alone was wrong. And while I accept that these movies use the Lego universe and not the Marvel universe, having all the villains turn good was too cheery for me.
 Juan T 	  Horrible! The story telling was as bad as watching two 5 year olds playing with a bunch of random action figure toys. For those adults that enjoyed the first Lego movie, don't expect the same humor, this Lego Batman is made for kids only.
 John H 	  CBT vs Batman. Amazing animation. Lots of laughs.
 lucas s 	  it is a lame movie them use the lego movie batman not lego batman from the lego batman video games
 Supes S 	  It is a very fun and exciting movie. The animation is stunning and overall it's a fun ride with heartwarming story starring DC Comics' greatest characters.
 Abraham B 	  Batman was exaggerated and un-enjoyable. The comic relief was poor and the plot was horrendous, so much so that they had to include the villains they did.
 Matthew B 	  Funny for all ages. Some of the scenes are scatter shot - so it's hard to see all the details. But otherwise really enjoyable and appropriate for everyone.
 Jordan J 	  It is no where near as good as the lego movie, but it is still a good movie. This movie is really funny but I felt like the movie was a little bit over stuffed with too many things going on. This movie is like a family version of robot chicken and is successful with the things it is making fun of. The animation is really good and well done. This is a good movie but just doesn't hit the highest note lik the first lego movie.
 Ronaldo S 	  Really funny and touching at times, and full of references to earlier Batman movies and shows
 Nathan S 	  I had really high expectations, but the best scenes were all in the trailers. Overall, a funny movie but no where near as good as the Lego Movie.
 Chris M 	  Better than the Lego movie!!!
 Tiffany C 	  Cute.. real cute. Batman was shot mess lol
 Tyler S 	  Funny, but it falls flat at times and doesn't quite find the cleverness of its theatrical predecessor.
 Garrett H 	  I saw this movie with 2 of my best friends and it is a great movie! It is filled with REALLY funny scenes from the intro of the movie to the end and it also has cool Action scenes! This movie is good for people of all ages, and I really recommend it!
 Aryan K 	  Weird.. It seems joker and batman have a "gay" like relationship instead of " I love you " its "I hate you joker" "i hate you too batman" the joker part made no sense put for the story with batman and robin and batgirl relations are ok but its weird!!!!!!!!!!!!!!!!!
 Theodore C 	  This was one of the most disappointing animated films in a long time. Similar to cars 2 (with the character Nader), Lego Batman takes the perfect sprinkle of a popular character ( Lego Batman) from the original film and overpowers the subsequent film with that character. It never gets good and in spots is uncomfortably bad.
 Bryan T 	  Not sure what movie everyone was watching but this was terrible. All the funny parts where shown in the previews. And just very corny.
 Trexler%20 C 	  understandably this movie is made by the same people by the Lonney Tunes would be making a upgrade to the lego movie and boost it's qaulity a lot.
 Olivia M 	  love Harley Quinn and the joker. great film.
 Ariel G 	  Bastante entretenida, muchas referencias al universo DC y otras pelculas clsicas de la cultura POP.
 Clarissa H 	  A great follow up to the immensely popular Lego Movie, The Batman Movie is actually one of the best films ever made depicting Bruce Wayne and his alter bat ego. The humor is well placed and easter eggs are all over the place! - Be still my nerdy heart - Both adult, child and nerd alike will get a kick out of Will Arnet's version of the Batman and the rendition put together by the same team that built The Lego Movie. Everything is awesome!
 Shawn B 	  This was the funniest movie I've seen in a long time. It was a great time for the whole family. I would see it again and will probably buy it as well.
